"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
143,"WD",4254658,,,"14331","3203"
143,"WD",4254659,,,"14331","3202"
143,"WD",4254660,,,"14331","3203"
143,"WD",4254661,,,"14331","3202"
143,"WD",4254662,,,"14331","3203"
143,"WD",4254663,,,"14331","3202"
143,"WD",4254664,,,"14331","3203"
143,"WD",4254665,,,"14331","3202"
143,"WD",4254666,,,"14331","3203"
143,"WD",4254667,,,"14331","3202"
143,"WD",4254668,,,"14331","3203"
143,"WD",4254669,,,"14331","3202"
143,"WD",4254670,,,"14331","3203"
143,"WD",4254671,,,"14331","3203"
143,"WD",4254672,,,"14331","3202"
145,"SA",4247983,,,"14511","4501"
145,"SA",4247984,,,"14512","4501"
145,"SA",4247985,,,"14511","4501"
145,"SA",4247986,,,"14512","4501"
145,"SA",4247987,,,"14511","4501"
145,"SA",4247988,,,"14512","4501"
145,"SA",4247989,,,"14511","4501"
145,"SA",4247990,,,"14512","4501"
145,"SA",4247991,,,"14511","4501"
145,"SA",4247992,,,"14512","4501"
145,"SA",4247993,,,"14511","4501"
145,"SA",4247994,,,"14512","4501"
145,"SA",4247995,,,"14511","4501"
145,"SA",4247996,,,"14512","4501"
145,"SA",4247997,,,"14511","4501"
145,"SA",4247998,,,"14511","4510"
145,"SA",4247999,,,"14512","4510"
145,"SA",4248000,,,"14511","4510"
145,"SA",4248001,,,"14512","4510"
145,"SA",4248002,,,"14511","4510"
145,"SA",4248003,,,"14512","4510"
145,"SA",4248004,,,"14511","4510"
145,"SA",4248005,,,"14512","4510"
145,"SA",4248006,,,"14511","4510"
145,"SA",4248007,,,"14512","4510"
145,"SA",4248008,,,"14511","4510"
145,"SA",4248009,,,"14512","4510"
145,"SA",4248010,,,"14511","4510"
145,"SA",4248011,,,"14512","4510"
145,"SA",4248012,,,"14511","4510"
145,"SU",4251787,,,"14511","4510"
145,"SU",4251788,,,"5513","4510"
145,"SU",4251789,,,"14511","4510"
145,"SU",4251790,,,"14541","4510"
